('01/01/2004 01', 10.60, 44.41, 7114.0),
('01/01/2004 02', 10.60, 44.37, 6977.0),
('01/01/2004 03', 10.60, 44.35, 6836.0),
('01/01/2004 04', 10.60, 44.35, 6731.0),
('01/01/2004 05', 10.60, 44.35, 6698.0),
('01/01/2004 06', 10.60, 44.33, 6731.0),
('01/01/2004 07', 10.60, 44.29, 6832.0),
('01/01/2004 08', 10.60, 44.26, 6960.0),
('01/01/2004 09', 10.31, 44.21, 7079.0),
('01/01/2004 10', 10.01, 44.18, 7129.0),
('01/01/2004 11', 10.07, 44.14, 7271.0),
('01/01/2004 12', 10.60, 44.08, 7430.0),
('01/01/2004 13', 10.60, 44.04, 7504.0),
('01/01/2004 14', 10.60, 44.01, 7510.0),
('01/01/2004 15', 10.60, 43.99, 7473.0),
('01/01/2004 16', 10.60, 43.99, 7540.0),
('01/01/2004 17', 23.63, 43.99, 7821.0),
('01/01/2004 18', 53.58, 43.96, 8180.0),
('01/01/2004 19', 22.95, 43.90, 8149.0),
('01/01/2004 20', 31.58, 43.87, 8072.0),
('01/01/2004 21', 40.64, 43.85, 8006.0),
('01/01/2004 22', 37.76, 43.84, 7916.0),
('01/01/2004 23', 24.60, 43.83, 7709.0),
('01/01/2004 24', 109.71, 43.96, 7348.0),
('01/02/2004 01', 12.49, 43.95, 7177.0),
('01/02/2004 02', 19.32, 43.95, 7050.0),
('01/02/2004 03', 19.25, 43.95, 6992.0),
('01/02/2004 04', 19.25, 43.94, 6966.0),
('01/02/2004 05', 19.25, 43.92, 6969.0),
('01/02/2004 06', 19.25, 43.91, 7057.0),
('01/02/2004 07', 15.65, 43.87, 7244.0),
('01/02/2004 08', 10.11, 43.81, 7453.0),
('01/02/2004 09', 10.60, 43.76, 7735.0),
('01/02/2004 10', 41.94, 43.77, 7850.0),
('01/02/2004 11', 59.79, 43.78, 7960.0),
('01/02/2004 12', 30.75, 43.80, 8011.0),
('01/02/2004 13', 31.43, 43.79, 8013.0),
('01/02/2004 14', 33.62, 43.79, 8015.0),
('01/02/2004 15', 25.00, 43.78, 7993.0),
('01/02/2004 16', 18.59, 43.74, 7979.0),
('01/02/2004 17', 72.00, 43.77, 8218.0),
('01/02/2004 18', 106.18, 43.84, 8558.0),
('01/02/2004 19', 41.26, 43.60, 8530.0),
('01/02/2004 20', 65.07, 43.54, 8396.0),
('01/02/2004 21', 56.95, 43.35, 8336.0),
('01/02/2004 22', 55.73, 42.99, 8217.0),
('01/02/2004 23', 40.69, 43.02, 7050.0),
('01/02/2004 24', 38.42, 43.04, 7679.0),
('01/03/2004 01', 25.00, 43.03, 7487.0),
('01/03/2004 02', 36.79, 43.04, 7346.0),
('01/03/2004 03', 35.43, 43.05, 7296.0),
('01/03/2004 04', 23.76, 43.04, 7198.0),
('01/03/2004 05', 21.50, 43.02, 7080.0),
('01/03/2004 06', 21.75, 43.01, 7128.0),
('01/03/2004 07', 41.28, 42.98, 7180.0),
('01/03/2004 08', 24.08, 42.89, 7312.0),
('01/03/2004 09', 41.15, 42.69, 7502.0),
('01/03/2004 10', 44.35, 42.72, 7614.0),
('01/03/2004 11', 45.89, 42.72, 7744.0),
('01/03/2004 12', 74.65, 42.79, 7833.0),
('01/03/2004 13', 52.16, 42.82, 7847.0),
('01/03/2004 14', 41.15, 42.80, 7855.0),
('01/03/2004 15', 61.30, 42.84, 7831.0),
('01/03/2004 16', 61.99, 42.89, 7857.0),
('01/03/2004 17', 75.32, 42.96, 8121.0),
('01/03/2004 18', 89.77, 43.02, 8554.0),
('01/03/2004 19', 89.77, 42.93, 8477.0),
('01/03/2004 20', 108.64, 43.05, 8337.0),
('01/03/2004 21', 82.98, 43.09, 8192.0),
('01/03/2004 22', 72.98, 43.13, 8072.0),
('01/03/2004 23', 46.86, 43.14, 7901.0),
('01/03/2004 24', 70.49, 43.20, 7600.0),
