('01/01/2011 01', 31.12, 59.86, 8464.0),
('01/01/2011 02', 30.77, 59.86, 8317.0),
('01/01/2011 03', 27.13, 59.85, 8201.0),
('01/01/2011 04', 24.11, 59.84, 8104.0),
('01/01/2011 05', 24.08, 59.83, 8054.0),
('01/01/2011 06', 24.04, 59.82, 8044.0),
('01/01/2011 07', 23.83, 59.43, 8088.0),
('01/01/2011 08', 21.10, 59.10, 8182.0),
('01/01/2011 09', 20.36, 58.80, 8258.0),
('01/01/2011 10', 20.36, 58.67, 8283.0),
('01/01/2011 11', 21.31, 58.54, 8378.0),
('01/01/2011 12', 23.91, 58.29, 8483.0),
('01/01/2011 13', 24.05, 58.16, 8504.0),
('01/01/2011 14', 24.06, 58.03, 8518.0),
('01/01/2011 15', 24.12, 57.81, 8531.0),
('01/01/2011 16', 24.15, 57.55, 8587.0),
('01/01/2011 17', 27.18, 56.94, 8904.0),
('01/01/2011 18', 26.74, 56.31, 9265.0),
('01/01/2011 19', 24.16, 55.70, 9159.0),
('01/01/2011 20', 24.12, 55.11, 9044.0),
('01/01/2011 21', 24.12, 54.53, 8923.0),
('01/01/2011 22', 24.93, 54.51, 8801.0),
('01/01/2011 23', 24.45, 54.50, 8615.0),
('01/01/2011 24', 23.52, 54.49, 8358.0),
('01/02/2011 01', 20.73, 54.47, 8107.0),
('01/02/2011 02', 20.79, 54.46, 7966.0),
('01/02/2011 03', 20.89, 54.45, 7855.0),
('01/02/2011 04', 22.46, 54.44, 7831.0),
('01/02/2011 05', 22.60, 54.43, 7857.0),
('01/02/2011 06', 24.05, 54.40, 7879.0),
('01/02/2011 07', 24.11, 54.37, 7996.0),
('01/02/2011 08', 20.91, 54.34, 8136.0),
('01/02/2011 09', 23.03, 54.31, 8303.0),
('01/02/2011 10', 24.06, 54.30, 8409.0),
('01/02/2011 11', 27.82, 54.30, 8574.0),
('01/02/2011 12', 29.85, 54.30, 8643.0),
('01/02/2011 13', 34.99, 54.30, 8734.0),
('01/02/2011 14', 31.31, 54.31, 8759.0),
('01/02/2011 15', 31.62, 54.32, 8767.0),
('01/02/2011 16', 34.15, 54.33, 8830.0),
('01/02/2011 17', 27.53, 54.32, 9120.0),
('01/02/2011 18', 34.88, 54.30, 9486.0),
('01/02/2011 19', 37.94, 54.29, 9411.0),
('01/02/2011 20', 47.41, 54.30, 9287.0),
('01/02/2011 21', 43.22, 54.31, 9150.0),
('01/02/2011 22', 41.54, 54.32, 9010.0),
('01/02/2011 23', 37.71, 54.34, 8732.0),
('01/02/2011 24', 30.62, 54.34, 8418.0),
('01/03/2011 01', 24.89, 54.34, 8143.0),
('01/03/2011 02', 27.00, 54.34, 7988.0),
('01/03/2011 03', 29.15, 54.34, 7944.0),
('01/03/2011 04', 24.17, 54.35, 7885.0),
('01/03/2011 05', 25.16, 54.35, 7991.0),
('01/03/2011 06', 29.80, 54.35, 8163.0),
('01/03/2011 07', 26.21, 54.37, 8491.0),
('01/03/2011 08', 30.91, 54.38, 8931.0),
('01/03/2011 09', 36.10, 54.39, 9123.0),
('01/03/2011 10', 33.03, 54.40, 9137.0),
('01/03/2011 11', 32.47, 54.40, 9161.0),
('01/03/2011 12', 30.91, 54.40, 9186.0),
('01/03/2011 13', 35.97, 54.41, 9135.0),
('01/03/2011 14', 34.98, 54.42, 9098.0),
('01/03/2011 15', 33.51, 54.43, 9083.0),
('01/03/2011 16', 35.48, 54.44, 9153.0),
('01/03/2011 17', 36.12, 54.45, 9473.0),
('01/03/2011 18', 43.35, 54.45, 9895.0),
('01/03/2011 19', 35.37, 54.45, 9734.0),
('01/03/2011 20', 34.23, 54.45, 9566.0),
('01/03/2011 21', 34.03, 54.46, 9438.0),
('01/03/2011 22', 35.35, 54.48, 9226.0),
