('01/01/2000 01', 21.65, 40.12, 5700.0),
('01/01/2000 02', 21.00, 40.12, 5555.0),
('01/01/2000 03', 5.90, 40.10, 5440.0),
('01/01/2000 04', 5.85, 40.08, 5318.0),
('01/01/2000 05', 5.84, 40.05, 5276.0),
('01/01/2000 06', 5.90, 40.03, 5269.0),
('01/01/2000 07', 5.90, 39.99, 5298.0),
('01/01/2000 08', 6.52, 39.94, 5399.0),
('01/01/2000 09', 20.99, 39.92, 5501.0),
('01/01/2000 10', 20.99, 39.89, 5541.0),
('01/01/2000 11', 21.60, 39.87, 5683.0),
('01/01/2000 12', 21.50, 39.85, 5803.0),
('01/01/2000 13', 21.51, 39.82, 5909.0),
('01/01/2000 14', 21.59, 39.80, 5959.0),
('01/01/2000 15', 21.50, 39.77, 5914.0),
('01/01/2000 16', 21.75, 39.75, 5981.0),
('01/01/2000 17', 27.02, 39.73, 6221.0),
('01/01/2000 18', 28.57, 39.68, 6505.0),
('01/01/2000 19', 27.48, 39.66, 6485.0),
('01/01/2000 20', 27.48, 39.63, 6379.0),
('01/01/2000 21', 24.23, 39.60, 6213.0),
('01/01/2000 22', 27.31, 39.58, 6165.0),
('01/01/2000 23', 21.50, 39.56, 6033.0),
('01/01/2000 24', 15.13, 39.54, 5790.0),
('01/02/2000 01', 11.67, 39.52, 5571.0),
('01/02/2000 02', 5.90, 39.49, 5431.0),
('01/02/2000 03', 5.90, 39.47, 5342.0),
('01/02/2000 04', 5.85, 39.45, 5309.0),
('01/02/2000 05', 5.85, 39.43, 5323.0),
('01/02/2000 06', 5.85, 39.41, 5326.0),
('01/02/2000 07', 5.90, 39.37, 5440.0),
('01/02/2000 08', 17.03, 39.34, 5590.0),
('01/02/2000 09', 20.46, 39.30, 5727.0),
('01/02/2000 10', 21.04, 39.27, 5796.0),
('01/02/2000 11', 22.11, 39.23, 5953.0),
('01/02/2000 12', 30.41, 39.21, 6069.0),
('01/02/2000 13', 30.41, 39.20, 6132.0),
('01/02/2000 14', 30.44, 39.19, 6130.0),
('01/02/2000 15', 32.19, 39.19, 6144.0),
('01/02/2000 16', 31.09, 39.18, 6200.0),
('01/02/2000 17', 40.19, 39.17, 6443.0),
('01/02/2000 18', 388.07, 39.66, 6839.0),
('01/02/2000 19', 65.12, 39.69, 6819.0),
('01/02/2000 20', 58.10, 39.72, 6745.0),
('01/02/2000 21', 51.14, 39.73, 6651.0),
('01/02/2000 22', 51.13, 39.75, 6569.0),
('01/02/2000 23', 35.09, 39.75, 6386.0),
('01/02/2000 24', 30.51, 39.75, 5924.0),
('01/03/2000 01', 25.54, 39.75, 5800.0),
('01/03/2000 02', 21.00, 39.75, 5666.0),
('01/03/2000 03', 21.00, 39.75, 5608.0),
('01/03/2000 04', 21.04, 39.75, 5593.0),
('01/03/2000 05', 21.04, 39.75, 5588.0),
('01/03/2000 06', 28.73, 39.76, 5651.0),
('01/03/2000 07', 31.32, 39.77, 5883.0),
('01/03/2000 08', 33.25, 39.78, 6223.0),
('01/03/2000 09', 33.86, 39.78, 6453.0),
('01/03/2000 10', 35.99, 39.78, 6513.0),
('01/03/2000 11', 60.38, 39.82, 6600.0),
('01/03/2000 12', 51.14, 39.85, 6688.0),
('01/03/2000 13', 43.06, 39.86, 6672.0),
('01/03/2000 14', 31.60, 39.86, 6644.0),
('01/03/2000 15', 31.54, 39.86, 6632.0),
('01/03/2000 16', 32.33, 39.86, 6697.0),
('01/03/2000 17', 46.26, 39.87, 6967.0),
('01/03/2000 18', 63.74, 39.89, 7272.0),
('01/03/2000 19', 35.42, 39.87, 7158.0),
('01/03/2000 20', 34.66, 39.86, 7059.0),
('01/03/2000 21', 33.86, 39.86, 6970.0),
('01/03/2000 22', 33.18, 39.85, 6792.0),
('01/03/2000 23', 30.87, 39.85, 6491.0),
('01/03/2000 24', 21.63, 39.84, 6110.0),
('01/04/2000 01', 19.54, 39.83, 5844.0),
('01/04/2000 02', 18.50, 39.83, 5689.0),
('01/04/2000 03', 13.15, 39.82, 5631.0),
('01/04/2000 04', 12.56, 39.81, 5619.0),
('01/04/2000 05', 6.46, 39.79, 5625.0),
('01/04/2000 06', 18.86, 39.78, 5722.0),
('01/04/2000 07', 32.07, 39.80, 5994.0),
('01/04/2000 08', 34.88, 39.80, 6417.0),
('01/04/2000 09', 34.88, 39.81, 6653.0),
('01/04/2000 10', 34.08, 39.81, 6754.0),
('01/04/2000 11', 33.86, 39.82, 6740.0),
('01/04/2000 12', 33.86, 39.82, 6737.0),
('01/04/2000 13', 32.28, 39.82, 6702.0),
('01/04/2000 14', 32.03, 39.82, 6693.0),
('01/04/2000 15', 32.03, 39.82, 6656.0),
('01/04/2000 16', 32.34, 39.82, 6662.0),
('01/04/2000 17', 49.78, 39.83, 6847.0),
('01/04/2000 18', 57.93, 39.84, 7163.0),
('01/04/2000 19', 35.32, 39.82, 7069.0),
('01/04/2000 20', 33.37, 39.80, 6952.0),
('01/04/2000 21', 33.16, 39.78, 6869.0),
('01/04/2000 22', 33.86, 39.77, 6707.0),
('01/04/2000 23', 31.41, 39.77, 6417.0),
('01/04/2000 24', 25.21, 39.77, 6036.0),
('01/05/2000 01', 20.00, 39.77, 5801.0),
('01/05/2000 02', 18.50, 39.77, 5658.0),
('01/05/2000 03', 18.50, 39.77, 5601.0),
('01/05/2000 04', 18.50, 39.76, 5568.0),
('01/05/2000 05', 18.50, 39.76, 5555.0),
('01/05/2000 06', 19.50, 39.76, 5661.0),
('01/05/2000 07', 26.63, 39.75, 5930.0),
('01/05/2000 08', 30.41, 39.74, 6386.0),
('01/05/2000 09', 30.66, 39.71, 6651.0),
('01/05/2000 10', 29.68, 39.69, 6609.0),
('01/05/2000 11', 29.46, 39.66, 6616.0),
('01/05/2000 12', 35.24, 39.64, 6588.0),
('01/05/2000 13', 33.67, 39.62, 6583.0),
('01/05/2000 14', 33.63, 39.60, 6576.0),
('01/05/2000 15', 33.63, 39.60, 6576.0),
('01/05/2000 16', 33.79, 39.59, 6620.0),
('01/05/2000 17', 44.30, 39.57, 6840.0),
('01/05/2000 18', 54.08, 39.37, 7144.0),
('01/05/2000 19', 44.49, 39.34, 7048.0),
('01/05/2000 20', 30.34, 39.31, 6955.0),
