('01/01/2008 01', 52.92, 66.74, 7960.0),
('01/01/2008 02', 34.97, 66.75, 7779.0),
('01/01/2008 03', 17.58, 66.74, 7609.0),
('01/01/2008 04', 20.06, 66.72, 7507.0),
('01/01/2008 05', 22.35, 66.71, 7516.0),
('01/01/2008 06', 23.20, 66.69, 7555.0),
('01/01/2008 07', 31.70, 66.68, 7618.0),
('01/01/2008 08', 15.48, 66.66, 7689.0),
('01/01/2008 09', 15.80, 66.62, 7763.0),
('01/01/2008 10', 19.01, 66.57, 7834.0),
('01/01/2008 11', 37.68, 66.56, 7994.0),
('01/01/2008 12', 44.01, 66.54, 8107.0),
('01/01/2008 13', 44.09, 66.53, 8148.0),
('01/01/2008 14', 44.10, 66.51, 8181.0),
('01/01/2008 15', 47.95, 66.51, 8213.0),
('01/01/2008 16', 53.06, 66.52, 8316.0),
('01/01/2008 17', 254.62, 66.70, 8600.0),
('01/01/2008 18', 327.06, 66.84, 8821.0),
('01/01/2008 19', 130.42, 66.92, 8723.0),
('01/01/2008 20', 64.21, 66.90, 8669.0),
('01/01/2008 21', 64.21, 66.90, 8591.0),
('01/01/2008 22', 64.21, 66.89, 8455.0),
('01/01/2008 23', 52.08, 66.90, 8180.0),
('01/01/2008 24', 45.16, 66.90, 7861.0),
('01/02/2008 01', 39.86, 66.92, 7615.0),
('01/02/2008 02', 39.13, 66.94, 7472.0),
('01/02/2008 03', 36.82, 66.96, 7434.0),
('01/02/2008 04', 28.21, 66.97, 7418.0),
('01/02/2008 05', 30.17, 66.97, 7438.0),
('01/02/2008 06', 39.79, 66.98, 7571.0),
('01/02/2008 07', 50.16, 66.96, 7954.0),
('01/02/2008 08', 40.34, 66.93, 8353.0),
('01/02/2008 09', 41.28, 66.78, 8611.0),
('01/02/2008 10', 42.86, 66.75, 8640.0),
('01/02/2008 11', 46.51, 66.72, 8711.0),
('01/02/2008 12', 47.64, 66.69, 8755.0),
('01/02/2008 13', 50.57, 66.66, 8779.0),
('01/02/2008 14', 59.48, 66.65, 8777.0),
('01/02/2008 15', 55.11, 66.63, 8745.0),
('01/02/2008 16', 47.14, 66.61, 8772.0),
('01/02/2008 17', 54.74, 66.53, 9019.0),
('01/02/2008 18', 54.80, 66.35, 9336.0),
('01/02/2008 19', 47.33, 66.20, 9196.0),
('01/02/2008 20', 50.27, 66.15, 9035.0),
('01/02/2008 21', 51.79, 66.11, 8913.0),
