('01/01/2020 01', 30.24, 43.49, 9467.0),
('01/01/2020 02', 29.43, 43.49, 9361.0),
('01/01/2020 03', 29.66, 43.49, 9286.0),
('01/01/2020 04', 28.19, 43.49, 9209.0),
('01/01/2020 05', 31.17, 43.49, 9195.0),
('01/01/2020 06', 31.80, 43.49, 9224.0),
('01/01/2020 07', 28.90, 43.49, 9342.0),
('01/01/2020 08', 30.50, 43.49, 9514.0),
('01/01/2020 09', 34.68, 43.48, 9648.0),
('01/01/2020 10', 34.41, 43.49, 9745.0),
('01/01/2020 11', 34.84, 43.49, 9878.0),
('01/01/2020 12', 34.86, 43.49, 9989.0),
('01/01/2020 13', 34.98, 43.50, 10043.0),
('01/01/2020 14', 34.96, 43.50, 10025.0),
('01/01/2020 15', 34.33, 43.51, 10032.0),
('01/01/2020 16', 35.84, 43.52, 10154.0),
('01/01/2020 17', 36.58, 43.52, 10427.0),
('01/01/2020 18', 36.68, 43.52, 10697.0),
('01/01/2020 19', 36.44, 43.53, 10592.0),
('01/01/2020 20', 36.15, 43.53, 10460.0),
('01/01/2020 21', 35.20, 43.54, 10274.0),
('01/01/2020 22', 34.92, 43.54, 10120.0),
('01/01/2020 23', 35.14, 43.55, 9872.0),
('01/01/2020 24', 34.28, 43.56, 9619.0),
('01/02/2020 01', 29.24, 43.56, 9605.0),
('01/02/2020 02', 28.19, 43.57, 9479.0),
('01/02/2020 03', 28.18, 43.57, 9397.0),
('01/02/2020 04', 28.08, 43.57, 9361.0),
('01/02/2020 05', 28.03, 43.57, 9383.0),
('01/02/2020 06', 28.02, 43.57, 9522.0),
('01/02/2020 07', 28.12, 43.56, 9840.0),
('01/02/2020 08', 31.72, 43.56, 10261.0),
('01/02/2020 09', 34.30, 43.56, 10500.0),
('01/02/2020 10', 35.25, 43.56, 10510.0),
('01/02/2020 11', 36.89, 43.56, 10635.0),
('01/02/2020 12', 36.87, 43.55, 10686.0),
('01/02/2020 13', 36.89, 43.56, 10645.0),
('01/02/2020 14', 37.05, 43.56, 10626.0),
('01/02/2020 15', 38.68, 43.57, 10596.0),
('01/02/2020 16', 38.80, 43.58, 10670.0),
('01/02/2020 17', 36.68, 43.59, 10951.0),
('01/02/2020 18', 38.32, 43.60, 11180.0),
('01/02/2020 19', 32.86, 43.60, 11029.0),
('01/02/2020 20', 33.77, 43.61, 10934.0),
('01/02/2020 21', 34.14, 43.61, 10814.0),
('01/02/2020 22', 31.82, 43.61, 10587.0),
('01/02/2020 23', 29.11, 43.61, 10278.0),
('01/02/2020 24', 28.97, 43.61, 9935.0),
('01/03/2020 01', 28.90, 43.62, 9756.0),
('01/03/2020 02', 28.91, 43.62, 9627.0),
('01/03/2020 03', 32.36, 43.63, 9549.0),
('01/03/2020 04', 36.63, 43.64, 9540.0),
('01/03/2020 05', 36.68, 43.65, 9549.0),
('01/03/2020 06', 36.67, 43.67, 9702.0),
('01/03/2020 07', 36.67, 43.68, 9984.0),
('01/03/2020 08', 35.43, 43.68, 10302.0),
('01/03/2020 09', 36.58, 43.70, 10581.0),
('01/03/2020 10', 36.71, 43.71, 10637.0),
('01/03/2020 11', 36.74, 43.72, 10703.0),
('01/03/2020 12', 35.71, 43.73, 10733.0),
('01/03/2020 13', 35.32, 43.73, 10681.0),
('01/03/2020 14', 35.33, 43.74, 10685.0),
('01/03/2020 15', 35.56, 43.75, 10694.0),
('01/03/2020 16', 35.32, 43.76, 10741.0),
('01/03/2020 17', 35.47, 43.76, 10955.0),
('01/03/2020 18', 36.02, 43.77, 11093.0),
('01/03/2020 19', 35.90, 43.77, 10941.0),
('01/03/2020 20', 35.23, 43.75, 10781.0),
('01/03/2020 21', 35.32, 43.72, 10625.0),
('01/03/2020 22', 35.20, 43.69, 10449.0),
('01/03/2020 23', 28.96, 43.68, 10194.0),
('01/03/2020 24', 28.90, 43.66, 9965.0),
('01/04/2020 01', 28.90, 43.64, 9772.0),
('01/04/2020 02', 27.49, 43.62, 9621.0),
('01/04/2020 03', 26.01, 43.60, 9505.0),
('01/04/2020 04', 26.01, 43.58, 9430.0),
('01/04/2020 05', 25.79, 43.56, 9395.0),
('01/04/2020 06', 25.00, 43.53, 9432.0),
('01/04/2020 07', 25.04, 43.50, 9542.0),
('01/04/2020 08', 28.27, 43.46, 9832.0),
('01/04/2020 09', 32.29, 43.45, 10109.0),
('01/04/2020 10', 34.14, 43.44, 10252.0),
('01/04/2020 11', 35.49, 43.41, 10380.0),
('01/04/2020 12', 33.79, 43.33, 10426.0),
('01/04/2020 13', 36.11, 43.30, 10416.0),
