('01/05/2007 08', 29.09, 53.57, 8347.0),
('01/05/2007 09', 48.38, 53.35, 8637.0),
('01/05/2007 10', 40.50, 53.31, 8653.0),
('01/05/2007 11', 41.13, 53.17, 8665.0),
('01/05/2007 12', 54.77, 53.19, 8667.0),
('01/05/2007 13', 55.41, 53.16, 8616.0),
('01/05/2007 14', 55.06, 53.16, 8630.0),
('01/05/2007 15', 55.06, 53.17, 8624.0),
('01/05/2007 16', 55.06, 52.98, 8664.0),
('01/05/2007 17', 54.96, 52.74, 8806.0),
('01/05/2007 18', 77.63, 52.45, 9061.0),
('01/05/2007 19', 115.05, 52.50, 8912.0),
('01/05/2007 20', 32.92, 52.44, 8780.0),
('01/05/2007 21', 40.40, 52.38, 8677.0),
('01/05/2007 22', 38.55, 52.36, 8523.0),
('01/05/2007 23', 35.72, 52.37, 8240.0),
('01/05/2007 24', 126.84, 52.50, 7891.0),
('01/06/2007 01', 38.32, 52.50, 7688.0),
('01/06/2007 02', 37.64, 52.52, 7573.0),
('01/06/2007 03', 27.79, 52.50, 7479.0),
('01/06/2007 04', 27.06, 52.48, 7433.0),
('01/06/2007 05', 30.05, 52.47, 7427.0),
('01/06/2007 06', 22.83, 52.45, 7422.0),
('01/06/2007 07', 22.32, 52.43, 7541.0),
('01/06/2007 08', 16.80, 52.38, 7681.0),
('01/06/2007 09', 22.91, 52.32, 7954.0),
('01/06/2007 10', 38.08, 52.24, 8129.0),
('01/06/2007 11', 53.80, 52.21, 8259.0),
('01/06/2007 12', 68.72, 52.20, 8343.0),
('01/06/2007 13', 40.49, 52.14, 8330.0),
('01/06/2007 14', 34.26, 51.82, 8256.0),
('01/06/2007 15', 33.93, 51.79, 8215.0),
('01/06/2007 16', 29.56, 51.68, 8214.0),
('01/06/2007 17', 31.48, 51.67, 8426.0),
('01/06/2007 18', 48.96, 51.46, 8795.0),
('01/06/2007 19', 32.38, 51.38, 8700.0),
('01/06/2007 20', 38.01, 51.34, 8567.0),
('01/06/2007 21', 34.55, 51.27, 8443.0),
('01/06/2007 22', 42.56, 51.15, 8330.0),
('01/06/2007 23', 34.29, 51.13, 8101.0),
('01/06/2007 24', 36.34, 50.94, 7829.0),
('01/07/2007 01', 23.68, 50.92, 7593.0),
('01/07/2007 02', 29.45, 50.91, 7426.0),
('01/07/2007 03', 25.00, 50.88, 7365.0),
('01/07/2007 04', 26.54, 50.87, 7343.0),
('01/07/2007 05', 19.00, 50.85, 7290.0),
('01/07/2007 06', 21.37, 50.82, 7330.0),
('01/07/2007 07', 23.06, 50.79, 7441.0),
('01/07/2007 08', 10.78, 50.72, 7596.0),
('01/07/2007 09', 24.14, 50.65, 7808.0),
('01/07/2007 10', 36.37, 50.63, 7933.0),
('01/07/2007 11', 34.26, 50.58, 8046.0),
('01/07/2007 12', 58.06, 50.51, 8143.0),
('01/07/2007 13', 38.86, 50.48, 8167.0),
('01/07/2007 14', 47.06, 50.48, 8142.0),
('01/07/2007 15', 38.80, 50.49, 8155.0),
('01/07/2007 16', 62.40, 50.52, 8185.0),
('01/07/2007 17', 75.57, 50.47, 8439.0),
('01/07/2007 18', 160.39, 50.61, 8791.0),
('01/07/2007 19', 56.52, 50.62, 8775.0),
('01/07/2007 20', 197.45, 50.81, 8586.0),
('01/07/2007 21', 43.19, 50.79, 8465.0),
('01/07/2007 22', 50.06, 50.75, 8322.0),
('01/07/2007 23', 29.27, 50.74, 7972.0),
('01/07/2007 24', 18.16, 50.71, 7606.0),
('01/08/2007 01', 63.66, 50.75, 7318.0),
('01/08/2007 02', 11.77, 50.71, 7147.0),
('01/08/2007 03', 21.91, 50.69, 7146.0),
('01/08/2007 04', 23.06, 50.69, 7168.0),
('01/08/2007 05', 23.06, 50.69, 7188.0),
('01/08/2007 06', 34.90, 50.70, 7406.0),
('01/08/2007 07', 34.16, 50.69, 7808.0),
('01/08/2007 08', 64.51, 50.74, 8409.0),
('01/08/2007 09', 75.00, 50.75, 8596.0),
('01/08/2007 10', 52.70, 50.74, 8586.0),
('01/08/2007 11', 51.86, 50.73, 8594.0),
('01/08/2007 12', 64.67, 50.75, 8587.0),
('01/08/2007 13', 98.16, 50.82, 8525.0),
('01/08/2007 14', 524.12, 51.48, 8347.0),
('01/08/2007 15', 57.16, 51.52, 8379.0),
('01/08/2007 16', 58.46, 51.54, 8501.0),
('01/08/2007 17', 184.25, 51.69, 8786.0),
