('01/01/2013 01', 18.31, 58.74, 8570.0),
('01/01/2013 02', 19.15, 58.74, 8439.0),
('01/01/2013 03', 17.47, 58.75, 8305.0),
('01/01/2013 04', 11.31, 58.75, 8210.0),
('01/01/2013 05', 10.84, 58.74, 8144.0),
('01/01/2013 06', 10.43, 58.70, 8153.0),
('01/01/2013 07', 10.31, 58.64, 8239.0),
('01/01/2013 08', 10.88, 58.62, 8363.0),
('01/01/2013 09', 10.88, 58.59, 8456.0),
('01/01/2013 10', 10.87, 58.56, 8499.0),
('01/01/2013 11', 10.87, 58.51, 8634.0),
('01/01/2013 12', 10.88, 58.45, 8749.0),
('01/01/2013 13', 10.90, 58.40, 8842.0),
('01/01/2013 14', 10.91, 58.37, 8827.0),
('01/01/2013 15', 10.94, 58.33, 8829.0),
('01/01/2013 16', 12.80, 58.30, 8913.0),
('01/01/2013 17', 18.20, 58.09, 9280.0),
('01/01/2013 18', 32.48, 57.96, 9745.0),
('01/01/2013 19', 31.69, 57.95, 9649.0),
('01/01/2013 20', 26.29, 57.96, 9515.0),
('01/01/2013 21', 24.65, 57.96, 9441.0),
('01/01/2013 22', 21.74, 57.95, 9223.0),
('01/01/2013 23', 13.49, 57.94, 8898.0),
('01/01/2013 24', 13.10, 57.94, 8624.0),
('01/02/2013 01', 12.61, 57.93, 8451.0),
('01/02/2013 02', 13.92, 57.94, 8310.0),
('01/02/2013 03', 14.30, 57.94, 8240.0),
('01/02/2013 04', 13.78, 57.93, 8231.0),
('01/02/2013 05', 20.12, 57.93, 8307.0),
('01/02/2013 06', 21.28, 57.93, 8477.0),
('01/02/2013 07', 22.13, 57.92, 8874.0),
('01/02/2013 08', 25.67, 57.92, 9360.0),
('01/02/2013 09', 32.61, 57.92, 9598.0),
('01/02/2013 10', 33.55, 57.93, 9632.0),
('01/02/2013 11', 33.50, 57.93, 9685.0),
('01/02/2013 12', 34.85, 57.94, 9751.0),
('01/02/2013 13', 34.37, 57.94, 9743.0),
('01/02/2013 14', 33.43, 57.92, 9727.0),
('01/02/2013 15', 30.34, 57.84, 9681.0),
('01/02/2013 16', 29.76, 57.74, 9715.0),
('01/02/2013 17', 25.77, 57.37, 10006.0),
('01/02/2013 18', 28.53, 56.64, 10411.0),
('01/02/2013 19', 31.42, 56.06, 10227.0),
('01/02/2013 20', 23.54, 56.00, 10056.0),
('01/02/2013 21', 24.65, 55.97, 9869.0),
('01/02/2013 22', 23.82, 55.84, 9650.0),
('01/02/2013 23', 21.88, 55.84, 9255.0),
('01/02/2013 24', 18.26, 55.82, 8873.0),
('01/03/2013 01', 20.76, 55.82, 8642.0),
('01/03/2013 02', 25.40, 55.82, 8491.0),
('01/03/2013 03', 19.27, 55.82, 8405.0),
('01/03/2013 04', 13.06, 55.80, 8370.0),
('01/03/2013 05', 13.08, 55.79, 8399.0),
('01/03/2013 06', 18.17, 55.78, 8564.0),
('01/03/2013 07', 13.91, 55.76, 8956.0),
('01/03/2013 08', 15.85, 55.73, 9374.0),
('01/03/2013 09', 19.97, 55.71, 9616.0),
('01/03/2013 10', 27.49, 55.70, 9555.0),
('01/03/2013 11', 30.45, 55.70, 9549.0),
('01/03/2013 12', 29.05, 55.70, 9564.0),
('01/03/2013 13', 29.05, 55.70, 9497.0),
('01/03/2013 14', 29.05, 55.70, 9494.0),
('01/03/2013 15', 29.02, 55.71, 9482.0),
('01/03/2013 16', 28.90, 55.70, 9566.0),
('01/03/2013 17', 27.79, 55.46, 9821.0),
('01/03/2013 18', 46.27, 54.72, 10277.0),
('01/03/2013 19', 38.74, 54.17, 10148.0),
('01/03/2013 20', 34.76, 53.61, 10027.0),
('01/03/2013 21', 34.46, 53.56, 9859.0),
('01/03/2013 22', 32.10, 53.56, 9599.0),
('01/03/2013 23', 32.89, 53.58, 9244.0),
('01/03/2013 24', 27.79, 53.56, 8878.0),
('01/04/2013 01', 27.07, 53.57, 8565.0),
('01/04/2013 02', 28.30, 53.59, 8482.0),
('01/04/2013 03', 23.94, 53.61, 8409.0),
('01/04/2013 04', 23.76, 53.62, 8374.0),
('01/04/2013 05', 23.79, 53.64, 8415.0),
('01/04/2013 06', 25.83, 53.66, 8606.0),
('01/04/2013 07', 33.45, 53.69, 8980.0),
('01/04/2013 08', 27.68, 53.70, 9412.0),
('01/04/2013 09', 35.37, 53.71, 9663.0),
('01/04/2013 10', 34.22, 53.72, 9655.0),
('01/04/2013 11', 34.23, 53.74, 9721.0),
('01/04/2013 12', 37.35, 53.74, 9732.0),
('01/04/2013 13', 38.80, 53.76, 9654.0),
('01/04/2013 14', 37.90, 53.78, 9663.0),
('01/04/2013 15', 39.00, 53.81, 9596.0),
('01/04/2013 16', 36.00, 53.83, 9587.0),
('01/04/2013 17', 23.57, 53.79, 9826.0),
('01/04/2013 18', 38.18, 53.61, 10212.0),
('01/04/2013 19', 21.18, 53.53, 10081.0),
('01/04/2013 20', 18.89, 53.50, 9920.0),
('01/04/2013 21', 28.41, 53.49, 9759.0),
('01/04/2013 22', 38.34, 53.51, 9548.0),
('01/04/2013 23', 33.89, 53.53, 9211.0),
('01/04/2013 24', 38.66, 53.57, 8912.0),
('01/05/2013 01', 35.86, 53.59, 8674.0),
('01/05/2013 02', 33.39, 53.62, 8495.0),
('01/05/2013 03', 26.81, 53.63, 8389.0),
('01/05/2013 04', 22.30, 53.64, 8343.0),
('01/05/2013 05', 21.69, 53.65, 8350.0),
('01/05/2013 06', 19.63, 53.64, 8419.0),
('01/05/2013 07', 22.23, 53.64, 8593.0),
('01/05/2013 08', 21.51, 53.63, 8844.0),
('01/05/2013 09', 29.57, 53.63, 9054.0),
('01/05/2013 10', 33.20, 53.63, 9129.0),
('01/05/2013 11', 34.39, 53.63, 9211.0),
('01/05/2013 12', 34.99, 53.64, 9249.0),
('01/05/2013 13', 32.96, 53.64, 9191.0),
('01/05/2013 14', 30.76, 53.65, 9142.0),
('01/05/2013 15', 26.93, 53.65, 9115.0),
('01/05/2013 16', 26.55, 53.65, 9214.0),
('01/05/2013 17', 27.36, 53.55, 9528.0),
